code;description;unit_id
01012100;Fokpaarden van zuiver ras;intrastat_unit_pce
01012910;Slachtpaarden;intrastat_unit_pce
01012990;Paarden, levend (m.u.v. fokpaarden van zuiver ras en slachtpaarden);intrastat_unit_pce
01013000;Ezels, levend;intrastat_unit_pce
01019000;Muildieren en muilezels, levend;intrastat_unit_pce
01022110;"Fokvaarzen ""vrouwelijke fokrunderen die nog niet gekalfd hebben"" van zuiver ras, levend";intrastat_unit_pce
01022130;Fokkoeien van zuiver ras (m.u.v. fokvaarzen);intrastat_unit_pce
01022190;Rundvee, fokdieren van zuiver ras (m.u.v. koeien en vaarzen);intrastat_unit_pce
01022905;Levend rundvee van het ondergeslacht Bibos of van het ondergeslacht Poephagus (m.u.v. fokdieren van zuiver ras);intrastat_unit_pce
01022910;Rundvee, levend, met een gewicht van <= 80 kg (m.u.v. fokrunderen van zuiver ras);intrastat_unit_pce
01022921;Rundvee, slachtdieren met een gewicht van > 80 doch <= 160 kg;intrastat_unit_pce
01022929;Rundvee, levend, met een gewicht van > 80 doch <= 160 kg (m.u.v. fokdieren van zuiver ras en slachtdieren);intrastat_unit_pce
01022941;Rundvee, slachtdieren met een gewicht van > 160 kg doch <= 300 kg;intrastat_unit_pce
01022949;Rundvee, levend, met een gewicht van > 160 kg doch <= 300 kg (m.u.v. fokdieren van zuiver ras en slachtdieren);intrastat_unit_pce
01022951;"Slachtvaarzen ""vrouwelijke slachtrunderen die nog niet gekalfd hebben"" met een gewicht van > 300 kg";intrastat_unit_pce
01022959;"Vaarzen ""vrouwelijke runderen die nog niet gekalfd hebben"", levend, met een gewicht van > 300 kg (m.u.v. slachtdieren en fokdieren van zuiver ras)";intrastat_unit_pce
01022961;Slachtkoeien met een gewicht van > 300 kg (m.u.v. vaarzen);intrastat_unit_pce
01022969;Koeien, levend, met een gewicht van > 300 kg (m.u.v. slachtkoeien en fokdieren van zuiver ras en vaarzen);intrastat_unit_pce
01022991;Rundvee, slachtdieren met een gewicht van > 300 kg (m.u.v. koeien en vaarzen);intrastat_unit_pce
01022999;Rundvee, levend, met een gewicht van > 300 kg (m.u.v. slachtdieren, koeien, vaarzen en fokdieren van zuiver ras);intrastat_unit_pce
01023100;Buffels, fokdieren van zuiver ras;intrastat_unit_pce
01023910;"Buffels ""huisdieren"", levend (m.u.v. fokdieren van zuiver ras)";intrastat_unit_pce
01023990;Buffels, levend (m.u.v. fokdieren van zuiver ras en huisdieren);intrastat_unit_pce
01029020;Fokrunderen van zuiver ras,levend, (m.u.v. rundvee en buffels);intrastat_unit_pce
01029091;"Runderen ""huisdieren"", levend (m.u.v. fokdieren van zuiver ras, rundvee en buffels)";intrastat_unit_pce
01029099;Runderen, levend (m.u.v. fokdieren van zuiver ras, huisdieren, rundvee en buffels);intrastat_unit_pce
01031000;Fokvarkens van zuiver ras;intrastat_unit_pce
01039110;"Varkens ""huisdieren"", levend, met een gewicht van < 50 kg (m.u.v. fokdieren van zuiver ras)";intrastat_unit_pce
01039190;"Varkens ""in het wild levend"", levend, met een gewicht van < 50 kg";intrastat_unit_pce
01039211;"Zeugen ""huisdieren"", levend, die ten minste eenmaal gebigd hebben, met een gewicht van >= 160 kg (m.u.v. fokdieren van zuiver ras)";intrastat_unit_pce
01039219;"Varkens ""huisdieren"", levend, met een gewicht van >= 50 kg (m.u.v. fokdieren van zuiver ras en m.u.v. zeugen die ten minste eenmaal gebigd hebben, met een gewicht van >= 160 kg)";intrastat_unit_pce
01039290;"Varkens ""in het wild levend"", levend, met een gewicht van >= 50 kg";intrastat_unit_pce
01041010;Fokschapen van zuiver ras;intrastat_unit_pce
01041030;"Lammeren ""schapen < 1 jaar"", levend (m.u.v. fokdieren van zuiver ras)";intrastat_unit_pce
01041080;Schapen, levend (m.u.v. fokdieren van zuiver ras en lammeren);intrastat_unit_pce
01042010;Fokgeiten van zuiver ras;intrastat_unit_pce
01042090;Geiten, levend (m.u.v. fokdieren van zuiver ras);intrastat_unit_pce
01051111;"Vrouwelijke selectie- en vermeerderingskuikens van legkippenrassen ""pluimvee"", met een gewicht van <= 185 g";intrastat_unit_pce
01051119;"Vrouwelijke selectie- en vermeerderingskuikens van kippen ""pluimvee"", met een gewicht van <= 185 g (m.u.v. die van legrassen)";intrastat_unit_pce
01051191;"Hanen en kippen ""pluimvee"" van legrassen, met een gewicht van <= 185 g (m.u.v. vrouwelijke selectie- en vermeerderingskuikens)";intrastat_unit_pce
01051199;"Hanen en kippen ""pluimvee"", levend, met een gewicht van <= 185 g (m.u.v. die van legrassen en m.u.v. vrouwelijke selectie- en vermeerderingskuikens)";intrastat_unit_pce
01051200;"Kalkoenen ""pluimvee"", levend, met een gewicht van <= 185 g";intrastat_unit_pce
01051300;"Eenden ""pluimvee"", levend, met een gewicht van <= 185 g";intrastat_unit_pce
01051400;"Ganzen ""pluimvee"", levend, met een gewicht van <= 185 g";intrastat_unit_pce
01051500;"Parelhoenders ""pluimvee"", levend, met een gewicht van <= 185 g";intrastat_unit_pce
01059400;"Hanen en kippen ""pluimvee"", levend, met een gewicht van > 185 gr";intrastat_unit_pce
01059910;"Eenden ""pluimvee"", levend, met een gewicht van > 185 g";intrastat_unit_pce
01059920;"Ganzen ""pluimvee"", levend, met een gewicht van > 185 g";intrastat_unit_pce
01059930;"Kalkoenen ""pluimvee"", levend, met een gewicht van > 185 g";intrastat_unit_pce
01059950;"Parelhoenders ""pluimvee"", levend, met een gewicht van > 185 g";intrastat_unit_pce
01061100;Levende primaten;intrastat_unit_pce
01061200;"Levende walvissen, dolfijnen en bruinvissen (zoogdieren van de orde Cetacea); lamantijnen en doejongs (zoogdieren van de orde Sirenia): zeehonden, zeeleeuwen en walrussen (zoogdieren van de suborde Pinnipedia)"".";intrastat_unit_pce
01061300;Levende kamelen en andere kameelachtigen (Camelidae);intrastat_unit_pce
01061410;Tamme konijnen, levend;intrastat_unit_pce
01061490;Konijnen en hazen, levend (m.u.v. tamme konijnen);
01061900;Levende zoogdieren (m.u.v. primaten, walvissen, dolfijnen en bruinvissen, lamantijnen en doejongs, zeehonden, zeeleeuwen en walrussen en m.u.v. kamelen en kameelachtigen, konijnen en hazen, paarden, ezels, muildieren, muilezels, runderen, varkens, schapen en geiten);
01062000;"Levende reptielen ""slangen en zeeschildpadden daaronder begrepen""";intrastat_unit_pce
01063100;Levende roofvogels;intrastat_unit_pce
01063200;"Levende psittaciformes ""papegaaiachtigen"" ""papegaaien, parkieten, ara's en kaketoes daaronder begrepen""";intrastat_unit_pce
01063300;Struisvogels en emoes (Dromaius novaehollandiae), levend;intrastat_unit_pce
01063910;Levende duiven;intrastat_unit_pce
01063980;"Levende vogels (m.u.v. roofvogels, psittaciformes ""papegaaiachtigen"" ""papegaaien, parkieten, ara's en kaketoes daaronder begrepen"", struisvogels, emoes (Dromaius novaehollandiae) en duiven)";
01064100;Levende bijen;
01064900;Levende insecten (m.u.v. bijen);
01069000;Levende dieren (m.u.v. zoogdieren, reptielen, vogels, insecten, vissen, schaaldieren, weekdieren, andere ongewervelde waterdieren en culturen van micro-organismen e.d.);
02011000;Runderen, hele en halve dieren, vers of gekoeld;
02012020;Compensated quarters van runderen, met been, vers of gekoeld;
02012030;Voorvoeten en voorspannen van runderen, met been, vers of gekoeld;
02012050;Achtervoeten en achterspannen van runderen, met been, vers of gekoeld;
02012090;"Vlees van runderen, met been, vers of gekoeld (m.u.v. hele en halve dieren, ""compensated quarters"", voorvoeten en voorspannen, achtervoeten en achterspannen)";
02013000;Vlees van runderen, uitgebeend, vers of gekoeld;
02021000;Runderen, hele en halve dieren, bevroren;
02022010;Compensated quarters van runderen, met been, bevroren;
02022030;Voorvoeten en voorspannen van runderen, met been, bevroren;
02022050;Achtervoeten en achterspannen van runderen, met been, bevroren;
02022090;"Vlees van runderen, met been, bevroren (m.u.v. hele en halve dieren, ""compensated quarters"", voorvoeten en voorspannen, achtervoeten en achterspannen)";
02023010;"Voorvoeten van runderen, uitgebeend, bevroren, geheel of verdeeld in ten hoogste vijf delen, waarbij iedere voorvoet in één enkel vriesblok wordt aangeboden, alsmede zgn. ""compensated quarters"" aangeboden in twee vriesblokken, waarvan het ene blok de voorvoet in zijn geheel of verdeeld in ten hoogste vijf delen omvat, en het andere de achtervoet, zonder de filet, in één enkel deel";
02023050;"Crops, ""chucks and blades"" en ""briskets"" van runderen, uitgebeend, bevroren";
02023090;"Vlees van runderen, uitgebeend, bevroren (m.u.v. voorvoeten, geheel of verdeeld in <= 5 delen, waarbij iedere voorvoet in één enkel vriesblok wordt aangeboden, alsmede zgn. ""compensated quarters"" aangeboden in twee vriesblokken, waarvan het ene blok de voorvoet in zijn geheel of verdeeld in <= 5 delen omvat, en het andere de achtervoet, zonder de filet, in één enkel deel en m.u.v. ""crops"", ""chucks and blades"" en ""briskets"")";
02031110;"Varkens ""huisdieren"", hele en halve dieren, vers of gekoeld";
02031190;"Varkens ""in het wild levend"", hele en halve dieren, vers of gekoeld";
02031211;"Hammen en delen daarvan, met been, van varkens ""huisdieren"", vers of gekoeld";
02031219;"Schouders en delen daarvan, met been, van varkens ""huisdieren"", vers of gekoeld";
02031290;"Hammen en schouders, alsmede delen daarvan, met been, van varkens ""in het wild levend"", vers of gekoeld";
02031911;"Voorstukken en delen daarvan, van varkens ""huisdieren"", vers of gekoeld";
02031913;"Karbonadestrengen en delen daarvan, van varkens ""huisdieren"", vers of gekoeld";
02031915;"Buiken ""buikspek"" en delen daarvan, van varkens ""huisdieren"", vers of gekoeld";
02031955;"Vlees van varkens ""huisdieren"", uitgebeend, vers of gekoeld (m.u.v. buiken ""buikspek"" en delen daarvan)";
02031959;"Vlees van varkens ""huisdieren"", met been, vers of gekoeld (m.u.v. hele en halve dieren en m.u.v. hammen, schouders, voorstukken, karbonadestrengen en buiken ""buikspek"" en delen daarvan)";
02031990;"Vlees van varkens ""in het wild levend"", vers of gekoeld (m.u.v. hele en halve dieren en m.u.v. hammen en schouders, alsmede delen daarvan, met been)";
02032110;"Varkens ""huisdieren"", hele en halve dieren, bevroren";
