code;description;unit_id
01012100;"Zuchtpferde, reinrassig";intrastat_unit_pce
01012910;"Pferde zum Schlachten";intrastat_unit_pce
01012990;"Pferde, lebend (ausg. zum Schlachten, reinrassige Zuchttiere)";intrastat_unit_pce
01013000;"Esel, lebend";intrastat_unit_pce
01019000;"Maultiere und Maulesel, lebend";intrastat_unit_pce
01022110;"Zuchtfärsen ""weibliche Rinder, die noch nicht gekalbt haben"", reinrassig";intrastat_unit_pce
01022130;"Zuchtkühe, reinrassig (ausg. Färsen)";intrastat_unit_pce
01022190;"Zuchtrinder, reinrassig (ausg. Färsen und Kühe)";intrastat_unit_pce
01022905;"Rinder, lebend, der Untergattung Bibos oder Poephagus (ausg. reinrassige Zuchttiere)";intrastat_unit_pce
01022910;"Rinder, lebend, mit einem Gewicht von <= 80 kg (ausg. reinrassige Zuchttiere)";intrastat_unit_pce
01022921;"Rinder, mit einem Gewicht von > 80 kg bis 160 kg, zum Schlachten";intrastat_unit_pce
01022929;"Rinder, lebend, mit einem Gewicht von > 80 kg bis 160 kg (ausg. zum Schlachten, reinrassige Zuchttiere)";intrastat_unit_pce
01022941;"Rinder, mit einem Gewicht von > 160 kg bis 300 kg, zum Schlachten";intrastat_unit_pce
01022949;"Rinder, lebend, mit einem Gewicht von > 160 kg bis 300 kg (ausg. zum Schlachten, reinrassige Zuchttiere)";intrastat_unit_pce
01022951;"Färsen ""weibliche Rinder, die noch nicht gekalbt haben"", mit einem Gewicht von > 300 kg, zum Schlachten";intrastat_unit_pce
01022959;"Färsen ""weibliche Rinder, die noch nicht gekalbt haben"", lebend, mit einem Gewicht von > 300 kg (ausg. zum Schlachten sowie reinrassige Zuchttiere)";intrastat_unit_pce
01022961;"Kühe, mit einem Gewicht von > 300 kg, zum Schlachten (ausg. Färsen)";intrastat_unit_pce
01022969;"Kühe, lebend, mit einem Gewicht von > 300 kg (ausg. zum Schlachten sowie reinrassige Zuchttiere und Färsen)";intrastat_unit_pce
01022991;"Rinder, mit einem Gewicht von > 300 kg, zum Schlachten (ausg. Färsen und Kühe)";intrastat_unit_pce
01022999;"Rinder, lebend, mit einem Gewicht von > 300 kg (ausg. zum Schlachten sowie reinrassige Zuchttiere, Färsen und Kühe)";intrastat_unit_pce
01023100;"Zuchtbüffel, reinrassig";intrastat_unit_pce
01023910;"Hausbüffel, lebend (ausg. reinrassige Zuchttiere)";intrastat_unit_pce
01023990;"Büffel, lebend (ausg. Hausbüffel und reinrassige Zuchttiere)";intrastat_unit_pce
